(US$ in millions),"For the year ended.June 30, 2024","For the year ended.June 30, 2023","For the year ended.June 30, 2022"
Interest income not recognized on nonaccruing debt securities,$ 9,$ 1,$ 3
"Interest income recognized on debt securities in nonaccrual status related to current and prior years, on a cash basis",1,-,1
