FOR THE YEAR ENDED JUNE 30 (US$ in millions),2024,2023,VARIANCE
Debt (including loan and loan-like instruments a ),"$58,534","$ 49,713","$ 8,821"
Equity (including equity and equity-like instruments a ),"14,646","14,190",456
Guarantee and Credit Risk Management,"6,689","5,596","1,093"
Total Committed Investment Portfolio,"$79,869","$69,499","$10,370"
