FOR THE YEAR ENDED JUNE 30.(US$ in millions),2024,2023,VARIANCE
Portfolio (release of provision) provision on disbursed loans,$ (26),$ 91,$ (117)
Individual provision (release of provision) on disbursed loans,5,(76),81
Portfolio provision (release of provision) on undisbursed loans,20,(3),23
Release of individual provision on undisbursed loans,(1),-,(1)
Provision on off-balance sheet credit exposures and other receivables,11,10,1
Individual provision on available-for-sale debt securities,12,7,5
Total,$ 21,$ 29,$ (8)
