FOR THE YEAR ENDED JUNE 30 (US$ in millions),2024,2023,VARIANCE
Loans,"$36,437","$ 31,414","$ 5,023"
Equity investments,"11,121","10,778",343
Debt securities,"11,189","9,310","1,879"
Total Investments,"$58,747","$51,502","$ 7,245"
