(US$ in millions),"June 30, 2024.Property, Land and Equipment","June 30, 2024.Others","June 30, 2024.Total","June 30,2023.Property, Land and Equipment","June 30,2023.Others","June 30,2023.Total"
Geographic Region,,,,,,
Africa,$ 1,$ -,$ 1,$ 2,-,$ 2
Asia and Pacific,11,-,11,-,-,-
"Latin America and the Caribbean, and Europe",7,5,12,3,6,9
Total,$ 19,$ 5,$ 24,$ 5,$ 6,$ 11
