(US$ in millions),"Remaining Contractual Maturity of the Agreements -June 30, 2024.Overnight and Continuous","Remaining Contractual Maturity of the Agreements -June 30, 2024.Up to 30 days","Remaining Contractual Maturity of the Agreements -June 30, 2024.30-90 days","Remaining Contractual Maturity of the Agreements -June 30, 2024.Greater than 90 days","Remaining Contractual Maturity of the Agreements -June 30, 2024.Total"
Repurchase agreements,,,,,
U.S. Treasury securities,$ -,$ 191,$ 331,$ 529,"$ 1,051"
Total Repurchase agreements,$ -,$ 191,$ 331,$ 529,"$ 1,051"
,,,Plus cash collateral payable,Plus cash collateral payable,498
,"Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.",(8)
,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,"$ 1,541"
