FOR THE YEAR ENDED JUNE 30.(US$ in millions),2024,2023,VARIANCE
Net realized gains,$ 245,$ 161,$ 84
Net unrealized losses,(231),(134),(97)
"Dividend income, custody, fees and other",128,164,(36)
Total income from equity investments and associated derivatives,$ 142,$ 191,$ (49)
