(US$ in millions),"June 30, 2024.Amortized Costs","June 30, 2024.Unrealized Losses a","June 30, 2024.Fair value","June 30, 2023.Amortized Costs","June 30, 2023.Unrealized Losses a","June 30, 2023.Fair value"
Corporate debt securities,$ 560,$ (110),$ 450,$ 857,$ (194),$ 663
Preferred shares,10,(2),8,9,(1),8
Asset-backed securities,10,(2),8,225,(62),163
Total,$ 580,$ (114),$ 466,"$ 1,091",$ (257),$ 834
