FOR THE YEAR ENDED JUNE 30.(US$ in millions),2024,2023,VARIANCE
The Funded Liquidity Portfolio,"$ 20,878","$ 23,188","$ (2,310)"
The Net Worth Funded Portfolio,"16,856","16,932",(76)
Total Liquid Asset Portfolio,"$ 37,734","$40,120","$ (2,386)"
