Portfolio,Derivative instruments used,Purpose / Risk being managed
Risk Management purposes:,,
Investments a,"Currency swaps, currency forward contracts, interest rate swaps, options, swaptions and futures contracts, to-be-announced (TBA) securities",Manage currency and interest rate risk
Loans,Currency swaps and interest rate swaps,Manage currency risk and interest rate risk between loans and borrowings
Borrowings,Currency swaps and interest rate swaps,Manage currency risk and interest rate risk between loans and borrowings
Other asset/liability management,Currency swaps and interest rate swaps,Manage currency risk and duration of IFC's equity
Other purposes:,,
Client operations,"Currency swaps, currency forward contracts and interest rate swaps",Assist clients in managing risks
