AS OF THE YEAR ENDED JUNE 30.(US$ in millions),2024,2023,VARIANCE
Medium and long-term borrowings,"$ 53,447","$49,476","$ 3,971"
Short-term borrowings under the discount note program,"2,308","2,967",(659)
Total outstanding borrowings,"$ 55,755","$52,443","$ 3,312"
