(US$ in millions),"Remaining Contractual Maturity of the Agreements -June 30, 2023.Overnight and Continuous","Remaining Contractual Maturity of the Agreements -June 30, 2023.Up to 30 days","Remaining Contractual Maturity of the Agreements -June 30, 2023.30-90 days","Remaining Contractual Maturity of the Agreements -June 30, 2023.Greater than 90 days","Remaining Contractual Maturity of the Agreements -June 30, 2023.Total"
Repurchase agreements,,,,,
U.S. Treasury securities,$ -,"$ 1,479","$ 3,530","$ 1,474","$ 6,483"
Total Repurchase agreements,$ -,"$ 1,479","$ 3,530","$ 1,474","$ 6,483"
,,,Plus cash collateral payable,Plus cash collateral payable,185
,"Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.","Less: accrued interest on cash collateral and repos, net.",$ (37)
,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,Securities sold under repurchase agreements and payable for cash collateral received,"$ 6,631"
