0,1,2,3,4,5,6,7,8,9,10
"June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024","June 30, 2024"
(US$ in millions),Very Strong,Strong,Adequate,Moderate,Weak,Very Weak/ Special Attention,Very Weak/ Substandard,Extremely Weak/ Doubtful,Imminent Default/ Default,Total
Industry Sector,,,,,,,,,,
"Manufacturing, agribusiness and services",$ 135,$ 301,"$ 3,973","$ 5,467","$ 1,725",$ 370,$ 64,$ 88,$ 311,"$12,434"
Financial markets,-,737,"4,800","6,205","4,146",92,39,25,41,"16,085"
Infrastructure and natural resources,-,55,"1,695","1,483","2,712",655,185,321,229,"7,335"
Disruptive technologies and funds,-,-,-,-,-,-,17,-,4,21
Total industry sector,$ 135,"$1,093","$ 10,468","$ 13,155","$ 8,583","$ 1,117",$ 305,$ 434,$ 585,"$35,875"
"Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other",(146)
Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,"$35,729"
