(US$ in millions),"June 30, 2024","June 30, 2023"
Investment transactions committed but not disbursed:,,
"Loans, equity investments and debt securities","$ 13,324","$ 11,090"
Investment transactions committed but not utilized:,,
Guarantees,"1,544",747
Client risk management facilities,183,202
Total investment transactions committed but not disbursed or utilized,"$ 15,051","$ 12,039"
