Classes,Significant Inputs
Structured bonds,"Foreign exchange rate and inter-bank yield curves, IFC's credit curve and swaption volatility matrix, foreign exchange rate volatility, equity spot price, volatility and dividend yield."
Unstructured bonds,Inter-bank yield curve and IFC's credit curve.
