(US$ in millions),2025,2026,2027,2028,2029,Thereafter,Total
Fixed rate loans,"$ 2,457","$ 1,724","$ 1,034",$ 766,$ 857,"$ 1,114","$ 7,952"
Variable rate loans,"6,373","4,147","5,206","4,077","3,712","6,259","29,774"
Total disbursed loan portfolio,"$ 8,830","$ 5,871","$ 6,240","$ 4,843","$ 4,569","$ 7,373","$ 37,726"
