(US$ in millions),"For the year ended.June 30, 2024","For the year ended.June 30, 2023","For the year ended.June 30, 2022"
Investments gains (losses) on PEBP assets,$ 63,$ 55,$ (17)
Post-retirement Contributions Reserve Fund (PCRF) income,30,15,1
Fees collected from clients,18,16,13
Other reimbursable arrangements,11,9,14
Others,66,48,33
Total Other Income,$ 188,$ 143,$ 44
