(US$ in millions),2024,2025,2026,2027,2028,Thereafter,Total
Fixed rate loans,"$ 1,472","$ 1,908","$ 1,580",$ 737,$ 665,"$ 1,571","$ 7,933"
Variable rate loans,"4,586","4,836","3,924","3,430","2,919","5,258","24,953"
Total disbursed loan portfolio,"$ 6,058","$ 6,744","$ 5,504","$ 4,167","$ 3,584","$ 6,829","$ 32,886"
