FOR THE YEAR ENDED JUNE 30.(US$ in millions),2024,2023,VARIANCE
"Liquid asset income, gross of funding costs:",,,
Market Funded Liquidity Portfolio,"$ 1,341","$ 1,215",$ 126
Net Worth Funded Liquidity Portfolio,"1,050",249,801
"Total liquid asset income, gross of funding costs","$ 2,391","$ 1,464",$ 927
"Liquid asset income, net of funding costs:",,,
Market Funded Liquidity Portfolio,$ 106,$ 208,$ (102)
Net Worth Funded Liquidity Portfolio,754,33,721
"Total liquid asset income, net of funding costs",$ 860,$ 241,$ 619
