(US$ in millions),"For the year ended June 30,.2024","For the year ended June 30,.2023","For the year ended June 30,.2022"
"Interest income, net","$ 1,753","$ 1,364",$ 331
Net gains (losses) on asset-backed and mortgage-backed securities,25,21,(61)
Net gains (losses) on other trading securities,613,79,(683)
Net gains (losses) on trading activities (realized and unrealized),638,100,(744)
Total income (loss) from liquid asset trading activities,"$ 2,391","$ 1,464",$ (413)
