(US$ in millions),"June 30, 2024","June 30, 2023"
Borrowings,"$ 55,755","$ 52,443"
Currency and interest rate swap (assets),(183),"(2,795)"
Currency and interest rate swap liabilities,"6,648","10,032"
Borrowings after swaps,"$ 62,220","$ 59,680"
