(US$ in millions),"For the year ended June 30,.2024","For the year ended June 30,.2023","For the year ended June 30,.2022"
Interest income,"$ 3,080","$ 2,131",$ 999
Commitment fees,44,56,50
Guarantee fees,119,92,63
Other financial fees,8,3,53
"Realized (losses) gains on loans, guarantees and associated derivatives a",(47),8,(9)
"Income from loans and guarantees, including realized gains (losses) on loans and associated derivatives","$ 3,204","$ 2,290","$ 1,156"
