(US$ in millions),"June 30, 2024","June 30, 2023"
Cash collateral received,$ 498,$ 185
Securities collateral received (fair value),-,1
Cash collateral pledged,"1,220","5,170"
Trading securities pledged (fair value),"3,378",-
