(US$ in millions),"June 30, 2024.Property, Land and Equipment","June 30, 2024.Others","June 30, 2024.Total","June 30,2023.Property, Land and Equipment","June 30,2023.Others","June 30,2023.Total"
Industry Sector,,,,,,
"Manufacturing, agribusiness and services",$ 15,$ -,$ 15,$ 3,-,$ 3
Financial markets,-,5,5,-,6,6
Infrastructure and natural resources,4,-,4,2,-,2
Total,$ 19,$ 5,$ 24,$ 5,$ 6,$ 11
