(US$ in millions),"June 30, 2024.Amortized cost","June 30, 2024.Unrealized gains a","June 30, 2024.Unrealized losses a","June 30, 2024.Reserve for credit losses","June 30, 2024.Fair value"
Corporate debt securities,$ 839,$ 1,$ (118),$ (24),$ 698
Preferred shares,28,1,(2),(10),17
Asset-backed securities,95,3,(2),-,96
Total,$ 962,$ 5,$ (122),$ (34),$ 811
