(US$ in millions),"June 30, 2024.Less than 12 months.Fair value","June 30, 2024.Less than 12 months.Unrealized losses","June 30, 2024.12 months or greater.Fair value","June 30, 2024.12 months or greater.Unrealized losses","June 30, 2024.Total.Fair value","June 30, 2024.Total.Unrealized losses"
Corporate debt securities,$ -,$ -,$ 450,$ (110),$ 450,$ (110)
Preferred shares,-,-,8,(2),8,(2)
Asset-backed securities,-,-,8,(2),8,(2)
Total,$ -,$ -,$ 466,$ (114),$ 466,$ (114)
