(US$ in millions),"For the year ended.June 30, 2024","For the year ended.June 30, 2023","For the year ended.June 30, 2022"
Unrealized (losses) on equity investments and associated derivatives a,$ (231),$ (134),$ (617)
"Realized gains on equity investments and associated derivatives, net",245,161,642
"Gains on equity investments and associated derivatives, net",14,27,25
Dividends,115,162,180
"Custody, fees and other",13,2,3
Total income from equity investments and associated derivatives,$ 142,$ 191,$ 208
