(US$ in millions),"June 30, 2023.Very Strong","June 30, 2023.Strong","June 30, 2023.Adequate","June 30, 2023.Moderate","June 30, 2023.Weak","June 30, 2023.Very Weak/ Special Attention","June 30, 2023.Very Weak/ Substandard","June 30, 2023.Extremely Weak/ Doubtful","June 30, 2023.Imminent Default/ Default","June 30, 2023.Total"
Geographic Region,,,,,,,,,,
Africa,$ -,$ 25,$ 394,"$ 1,992","$3,303",$ 313,$ 205,$ 137,$ 209,"$ 6,578"
Asia and Pacific,69,460,"3,284","3,250","2,019",192,6,18,78,"9,376"
"Latin America and the Caribbean, and Europe",-,517,"2,515","4,255","1,497",356,98,215,170,"9,623"
"Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",-,-,179,"1,537","1,315",365,0,28,254,"3,678"
Other,40,473,111,"1,365",-,-,-,-,-,"1,989"
Total geographic region,$ 109,"$1,475","$ 6,483","$12,399","$8,134","$ 1,226",$ 309,$ 398,$ 711,"$31,244"
"Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other",(127)
Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,"$31,117"
