FOR THE YEAR ENDED JUNE 30 (US$ in millions),2024,2023,VARIANCE
Loans,"$ 14,482","$ 13,838",$ 644
Equity investments,"1,535","1,033",502
Debt securities,"3,130","3,818",(688)
Total Investment Disbursements,"$ 19,147","$18,689",$ 458
